typo,orig,historique
VILLA DU MOULIN DAGOBERT,"Voie située à proximité d'un ancien lieu-dit ""Moulin Dagobert"" dont il est fait mention sur les copies du cadastre napoléonien.",Voie précédemment dénommée J/11.
PLACE SAINT-ESTEPHE,"Référence à l'activité vinicole passée du quartier, Saint- Estèphe étant une commune de Gironde, grand cru du Médoc.","voie créée  lors de l'aménagement de la ZAC ""Bercy""."
VOIE CD/12,,Bretelle de liaison aménagée à l'occasion de la création du boulevard Périphérique.
VILLA DU BOIS D'ORME,"Voie située à proximité d'un ancien lieu-dit ""les Bois d'Orme"".",Voie précédemment dénommée K/19.
RUE MICHEL TAGRINE,"Michel Tagrine (1922-1944), résistant français. A participé à plusieurs combats dans le XIXe arrondissement (Pont de Flandre et Buttes Chaumont).",Précédemment voie provisoirement dénommée F/19.
VOIE U/19,,
RUE SERPOLLET,"Léon Serpollet (1858-1907), ingénieur créateur de la première automobile à vapeur, en 1889.",Ouverte par la Ville de Paris : 1° partie A : sur l'emplacement du bastion 14 ; 2° partie B : sur la zone de servitude `non aedificandi`. Elle avait été provisoirement dénommée C/20
ALLEE PIERRE BEREGOVOY,"Pierre Bérégovoy (Déville-lès-Rouen, 1925-Nevers, 1993), homme politique.",
RUE DE VIMOUTIERS,"Vimoutiers, chef lieu de canton de l'Orne arrondissement d'Argentan, sur la Vie.",
RUE GEORGES ET MAI POLITZER,"Georges Politzer (Nagyvarad, 1903-Le Mont-Valérien, 1942), professeur agrégé de philosophie ; d'origine juif hongrois, il fut naturalisé français en 1924. Il fait ses études de philosophie à la Sorbonne et obtient son agrégation en 1926. Militant communiste dès 1929, responsable de la commisssion économique du Comité central il publie d'innombrables articles sur des sujets économiques et sociaux. Il enseigne la Philosophie à l'Université ouvrière puis à l'école centrale du parti. Arrêté le 15 février 1942 avec sa femme Maï (Marie Larcade), il est fusillé comme otage au Mont Valérien. Maï Politzer, militante communiste est déportée à Auschwitz en janvier 1943 où elle meurt du typhus le 6 mars 1943. La mention ""mort pour la France"" fut accordée à Georges Politzer le 15 octobre 1945 et à Maï Politzer le 18 mai 1946. La qualité d'interné et déporté résistants leur fut reconnue le 5 juin 1956.",Voie créée dans le cadre de l'aménagement de la Zac `Reuilly`. Elle avait été provisoirement dénommée DH/12.
RUE DE RAMBERVILLERS,"Chef-lieu de canton du département des Vosges, célèbre par sa défense au cours de la guerre franco-allemande (1870-1871).","La partie comprise entre l'avenue du Docteur Arnold Netter et la rue Paul Crampel a été ouverte par Mme veuve Pérette et le surplus du tronçon A par la Ville de Paris. Le tronçon B était précédemment une partie de la rue des Marguettes, voie indiquée sur le plan cadastral de 1813."
VOIE A/2,,
RUE RAYMOND QUENEAU,"Raymond Queneau (Le Havre, 1903-Paris, 1976), écrivain français.",Voie créée dans le cadre de l'aménagement de la Zac `Evangile`. Elle avait été provisoirement dénommée AN/18.
VOIE AH/20,,
PLACE AMEDEE GORDINI,"Amédée-Jean Gordini (Bazzano (Italie), 1899-Paris, 1979) constructeur de voitures monoplaces de sport.",
PLACE DE LA REPUBLIQUE DE PANAMA,Panamá : république de l'Amérique centrale.,
VOIE AK/16,,
VOIE AT/19,,Voie ouverte par l'Office public d'HLM de la Ville de Paris dans le cadre de l'aménagement de l'ex-domaine gazier de la Villette.
RUE TOULOUSE-LAUTREC,"Henri Marie de Toulouse-Lautrec Monfa (Albi, 1864-Malromé, 1901), dessinateur, peintre, lithographe et affichiste français.",Voie reprenant en partie l'assiette de l'ancienne rue Toulouse Lautrec qui avait été supprimée lors de l'aménagement du boulevard Périphérique. Elle avait été provisoirement dénommée W/17.
ALLEE CELESTINO ALFONSO,"Celestino Alfonso (1916-1944), républicain espagnol, résistant, Mort pour la France.",Précédemment partie du terre-plein central de l'avenue de France.
VOIE B/5,,
VOIE BH/20,,
RUE RIESENER,"Jean Henri Riesener (Gladbeck, 1734-Paris, 1806), ébéniste français d'origine allemande ; un des créateurs du style Louis XVI.",Voie créée dans le cadre de l'aménagement de la Zac `Reuilly`. Elle avait été provisoirement dénommée BD/12.
PASSAGE DE L'YONNE,"L'Yonne, affluent de la Seine.","Voie située dans les anciens entrepôts vinicoles de Bercy, créée lors de l'aménagement de la ZAC  Bercy."
PLACE OUSMANE SOW,"Ousmane Sow (Dakar (Sénégal), 1935 - Dakar (Sénégal), 2016), Sculpteur de renommée internationale. Premier artiste noir à entrer à l'Académie des Beaux-Arts.  Commandeur de la Légion d'honneur, Commandeur des Arts et des Lettres, Commandeur de l'ordre national du Lion du Sénégal et lauréat du Prix du Prince Claus.",
AVENUE PIERRE IER DE SERBIE,"Pierre Ier de Serbie (1846-1921), roi de Serbie.","Précédemment partie de la rue Pierre Charron, plus anciennement partie de la rue de Morny."
ALLEE PIERRE-CHRISTIAN TAITTINGER,"Pierre-Christian Taittinger (Paris, 1926-Versailles, 2009), avocat, ancien maire du 16ème arrondissement. Il fut successivement Conseiller municipal de Paris et Conseiller général de la Seine, Sénateur de Paris, Ministre, Adjoint au Maire de Paris. Chevalier de la Légion d'honneur, officier de l'Ordre national du Mérite, officier des Palmes académiques, chevalier du Mérite agricole.",
RUE NEUVE SAINT-PIERRE,,La partie comprise entre la rue de l'Hôtel Saint-Paul et la rue Saint-Paul a été ouverte sur l'emplacement de l'ancien passage Saint-Pierre.
RUE EDOUARD FOURNIER,"Edouard Fournier (1819-1880), littérateur et historien de Paris.","Précédemment, rue de Franqueville. Ouverte par la Ville de Paris dans le Jardin fleuriste de la Muette."
PLACE GERTRUDE STEIN,"Gertrude Stein (Allegheny(Pennsylvanie), 1874-Neuilly-sur-Seine, 1946) poétesse, écrivain, dramaturge et féministe américaine.",Place créée lors de l'aménagement du lotissement `Charolais - Rotonde` et précédemment voie DR/12.
RUE THOMAS FRANCINE,"De son nom d'origine, Thomas Francini (Florence, 1571- ,1651), Intendant général des Eaux et Fontaines de Paris, Saint-Germain et Fontainebleau sous les règnes de Henri IV, Marie de Médicis et Louis XIII.",Voie créée dans le cadre de l'aménagement de la Zac `Alésia-Montsouris`. Précédement voie BL/14.
RUE JULIETTE DODU,"Juliette Dodu (1850-1909), employée des postes, s'illustra pendant la guerre de 1870, en interceptant les dépêches de l'armée allemande.","Précédemment partie de la rue Saint-Maur. Antérieurement partie de la rue Saint-Maur Popincourt. Plus anciennement, rue Saint-Maur."
PLACE AUGUSTE METIVIER,"Auguste Métivier (1827-1893), médecin, conseiller municipal du XXe arrondissement.",Précédemment place des Amandiers et partie de l'avenue Gambetta.
RUE JACQUES LACAN,"Jacques Lacan (Paris, 1901-Paris, 1981) psychiatre et psychanaliste.","Voies projetées du plan d'aménagement de la ZAC ""Paris  Rive Gauche"" et précédemment identifiées voies FA/13 et FV/13."
ESPLANADE DU GENERAL CASSO,"Abdon-Robert Casso (Valmanya (Pyrénées Orientales), 1912-Paris, 2002), premier Général de la Brigade des Sapeurs Pompiers de Paris. Il fut nommé, par le ministre de l'Intérieur, en 1970, maire du 17ème arrondissement. Grand officier de la Légion d'Honneur, médaillé de la Résistance.","Terrain aménagé par la Ville de Paris sur l'emplacement du bastion 49, et précédemment dénommée place Jules Renard, celle-ci remplacée en partie par la rue Jules Renard."
PLACE GERARD OURY,"Max-Gérard Houry Tannenbaum, (Paris, 1919-Saint-Tropez, 2006) acteur, scénariste et réalisateur. Commandeur de la Légion d'honneur, Grand officier de l'Ordre national du mérite.","Précédemment dénommée place du Pérou, puis voie K/8."
IMPASSE GIRARDON,Voisinage de la rue Girardon.,"Précédemment, impasse de la Fontaine du But ; plus anciennement, impasse de la Fontaine Saint-Denis."
RUE DU DOCTEUR PAQUELIN,"Le docteur Claude André Paquelin (1836-1905), inventeur du thermocautère.",
VILLA COEUR DE VEY,"M. Coeur de Vey, propriétaire des terrains sur lesquels cette voie a été ouverte.","Avant 1908, impasse Coeur de Vey."
PLACE NOEL VEG,"Noël Veg (Paris, 1926-Courbevoie, 2013), président de l'Association pour la mémoire des enfants juifs déportés du 18e arrondissement.",
RUE PRIMO LEVI,"Primo Levi (Turin, 1919-1987), écrivain italien; docteur en chimie, résistant déporté à Monowitz, ce qui lui suscita le besoin de témoigner.","Voie créée dans le cadre de l'aménagement de la Zac `Paris Rive Gauche`, provisoirement dénommée EC/13."
RUE GABRIEL VICAIRE,"Gabriel Vicaire (1848-1900), poète.",Ouverte sur l'emplacement du marché du Temple.
PLACE STEPHANE HESSEL,"Stéphane Hessel (Berlin, 1917-Paris, 2013) résistant, diplomate, ambassadeur. Il est connu du grand public comme homme de gauche et européen convaincu, ainsi que pour son manifeste ""Indignez-vous !"" paru en 2010, au succès international .",
ESPLANADE ROGER JOSEPH BOSCOVICH,"Roger Joseph Boscovich (Raguse(Dubrovnik), 1711-Milan, 1787) philosophe croate symbole du Siècle des Lumières.",
RUE EMILE ALLEZ,Nom de propriétaire.,"Précédemment, rue Martin."
PLACE JULIETTE DROUET,"Juliette Drouet, née Julienne Joséphine Gauvain (Fougères (Ille-et-Villaine), 1806 - Paris, 1883), actrice et épistolière. Compagne de Victor Hugo.",
RUE ETEX,"Antoine Etex (1808-1888), sculpteur.","Précédemment, partie de la rue de Maistre et antérieurement chemin des Dames. En 1843, c'était le chemin des Epinettes. En 1999 la portion comprise entre la rue Joseph de Maistre et la rue Carpeaux a été dénommée voie CB/18, puis rue de la Barrière Blanche."
VILLA JUGE,Voisinage de la rue Juge.,"Précédemment, rue Andreson."
RUE CHARLES FOURIER,"Charles Fourier (1772-1837), célèbre sociologiste, fondateur de l'école phalanstérienne.",Ouverte par la Ville de Paris.
ESPLANADE RENEE LEBAS,"Renée Lebas (Paris, 1917-Paris, 2009) chanteuse et productrice.",
AVENUE FOCH,"Ferdinand Foch (1851-1929), maréchal de France, généralissime des armées alliées en 1918.","Précédemment, avenue du bois de Boulogne. Avant 1875, c'était l'avenue du Général Uhrich ; plus anciennement, avenue de l'Impératrice. Le plateau planté délimité par les prolongements de l'avenue Bugeaud et du boulevard Flandrin a reçu le nom de place du Paraguay par arrêté du 13 février 1962. Elle a absorbé la route départementale n° 4."
RUE D'ARMENONVILLE,Lieu-dit.,La partie qui s'étendait jusqu'à la rue de Sablonville a été supprimée dans le cadre de l'aménagement du 9e secteur zonier. Située autrefois sur le territoire de Neuilly-sur-Seine annexé à Paris par décret du 18 avril 1929.
IMPASSE SAINT-PAUL,,
PONT MIRABEAU,Voisinage de la rue Mirabeau.,
RUE GODEFROY CAVAIGNAC,"Eléonore Louis Godefroy Cavaignac (1801-1845), homme politique.","Précédemment, avenue de la Roquette, ouverte en 1847."
RUE FARADAY,"Michel Faraday (1794-1867), physicien anglais ; quartier où ont été groupés des noms de savants.",
RUE CARRIER-BELLEUSE,"Albert Ernest Carrier de Belleuse, dit Carrier-Belleuse (1824-1887), statuaire.",Ouverte par MM. Monnaud et Arnold.
VILLA GODIN,"M. Godin, propriétaire.",
PLACE CLAUDE SAUTET,"Claude Sautet (1924-2000), scénariste et réalisateur.",
RUE DU CHEVALERET,Lieu-dit.,"Précédemment, chemin du Liégat, entre les rues Regnault et du Loiret ; chemin du Chevaleret, entre la rue du Loiret et le boulevard Vincent Auriol. Cette voie est indiquée sur le plan de Roussel (1730)."
BOULEVARD MARBEAU,"M. Marbeau, propriétaire.","Cette voie, créée en 1900, en bordure du chemin de fer de Ceinture, a porté le nom de boulevard Lannes-Sud jusqu'en 1912."
ROUTE DU CHAMP D'ENTRAINEMENT,,Située autrefois sur le territoire de Neuilly-sur-Seine annexé à Paris par décret du 18 avril 1929.
AVENUE DU POLYGONE,,"Située autrefois sur les territoires de Vincennes et Saint-Mandé, annexés à Paris par décret du 18 avril 1929."
RUE ALAIN JACQUET,"Alain Jacquet, né Alain, Georges, Frank Jacquet (Neuilly-sur-Seine (Hauts-de-Seine), 1939 - New York (Etats-Unis), 2008), artiste peintre, reconnu pour avoir introduit le pop art en France.",Précédemment voie GX/13. Voie créée dans le cadre de l'aménagement de la Zac `Paris Rive Gauche`.
RUE MOUSSET-ROBERT,Ouverte par Mlle Robert.,
RUE DE MARIGNAN,"Victoire remportée par François Ier sur les Suisses, en 1515 ; voisinage de la rue François Ier.",
RUE DE MONT-LOUIS,"Voisinage de l'ancienne maison de plaisance, dite Mont-Louis, ayant appartenu au père Lachaise, confesseur de Louis XIV ; l'emplacement de cette maison est aujourd'hui compris dans le cimetière de l'Est.",Précédemment rue Mont Louis. Antérieurement partie de la rue des Rats Popincourt et plus anciennement partie de la rue de l'Air ou de Lair. Elle est indiquée sur le plan de Jouvin de Rochefort (1672).
RUE SORBIER,"Le comte Jean Barthélemot Sorbier (1762-1827), général de division ; la rue Sorbier aboutissait autrefois. à la route Militaire.","Cette voie, qui a englobé une partie de la rue juillet, s'étendait autrefois de la rue de Ménilmontant au boulevard Mortier. La section comprise entre la rue Gasnier-Guy et le boulevard Mortier, dénommée rue Sorbier par décret du 2 mars 1867, forme aujourd'hui la place Martin Nadaud, une partie de l'avenue Gambetta et la rue Belgrand."
PROMENADE JEAN-PAUL BELMONDO,"Jean-Paul Belmondo (Neuilly-sur-Seine, 1933 - Paris, 2021), acteur, comédien.",Précédemment partie du pont de Bir-Hakeim.
PASSAGE DES VERRIERES,,Voie créée lors de l'aménagement du secteur Forum Central des Halles.
AVENUE DELECOURT,"M. Delecourt, propriétaire.",
PASSAGE TURQUETIL,"M. Turquetil, propriétaire.",
RUE MILO ADONER,"Milo Adoner (1925-2020), déporté survivant, témoin de la Shoah.",Précédemment côté pair de la rue du Marché des Blancs Manteaux.
CITE HERON,,
RUE BARTHELEMY,"Barthélemy, membre du Conseil général de la Seine en 1817, époque à laquelle la rue fut ouverte.",
PLACE DES PETITS PERES,"Ancienne cour du couvent des Petits Pères, élargie en 1765.",
PASSAGE DU CHEVAL BLANC,Ancienne enseigne.,Construit en 1824.
QUAI DE L'ALLIER,Affluent de la Loire.,"La partie comprise entre la limite de l'ancienne enceinte fortifiée et la limite du territoire d'Aubervilliers était précédemment le chemin latéral au canal Saint-Denis, situé autrefois sur le territoire d'Aubervilliers annexé à Paris par décret du 27 Juillet 1930."
RUE EVETTE,"M. Félix Evette, négociant, adjoint au maire du Xe arrondissement.",
PLACE DU CALVAIRE,Dénomination due au calvaire situé au sommet de la butte Montmartre.,Précédemment place Sainte-Marie (A) et partie de la rue Poulbot sur une longueur de 22 m environ (B).
PLACE CAMILLE JULLIAN,"Camille Jullian (1859-1933), historien français.",
VILLA CANTATE,Composition musicale écrite à une ou plusieurs voix.,Voie créée dans le cadre du lotissement du `Parc des Musiciens` (ancien terrain de l'Office Central Pharmaceutique). Elle avait été provisoirement dénommée DW/19.
RUE ALPHONSE KARR,"Alphonse Karr (1808-1890), journaliste et écrivain français.",Précédemment passage Auvry.
AVENUE AMBROISE RENDU,"Ambroise Marie Modeste Rendu (1778-1860), inspecteur général de l'Université.",Ouverte par l'Office Public d'Habitations de la Ville de Paris sur l'emplacement du bastion 23.
VOIE CR/15,,
SQUARE DES CARDEURS,Voisinage de la rue Saint-Blaise. Saint-Blaise était le patron des cardeurs.,
PLACE DU PALAIS BOURBON,"Située devant le Palais Bourbon, actuellement le siège de l'Assemblée nationale.","Elle s'est appelée place du Palais Bourbon dès son origine. Dénommée plus tard place de la Maison de la Révolution (décret du 27 ventôse an II), place du Conseil des Cinq Cents (1798) (arrêté du 29 nivôse an VI) ou place des Cinq Cents, place du Palais du Corps Législatif ou place du Corps Législatif (sous le premier Empire), place de la Chambre des Députés. Place du Palais Bourbon en 1814."
RUE NICOLAS RORET,"Nicolas Roret (1797-1860), éditeur.",
RUE DE L'ABBE ROGER DERRY,"L'abbé Roger Derry, second vicaire à Saint-François Xavier, résistant mort en déportation à Cologne le 15 octobre 1943.","Précédemment, partie de la rue de la Cavalerie. Plus anciennement, partie de la rue de la Ferme de Grenelle."
RUE ANDRE COLLEDEBOEUF,"André Colledeboeuf, adjoint au maire du XVIe arrondissement, ancien propriétaire des terrains sur lesquels la voie a été ouverte.",
PLACE ADOLPHE CHERIOUX,"Adolphe Chérioux (1857-1934), conseiller municipal du quartier.",Précédemment place de Vaugirard ; plus anciennement place de la Mairie.
PLACE ALBERT KAHN,"Albert Kahn (1860-1940), financier et philanthrope.",
RUE CHARLES LE GOFFIC,"Charles Le Goffic (1863-1932), poète, romancier et critique.",Ouverte par l'Office public d'habitations de la Ville de Paris sur l'emplacement du bastion 79.
RUE ARISTIDE MAILLOL,"Aristide Maillol (Banyuls-sur-Mer, 1861-Perpignan, 1944), sculpteur, peintre et dessinateur français.",Voie créée dans le cadre de l'aménagement de la Zac `Gare de Vaugirard`. Elle avait été provisoirement dénommée AT/15.
RUE DES COUTURES SAINT-GERVAIS,Ouverte sur la couture ou culture Saint-Gervais.,Elle a aussi porté le nom de rue de l'Hôpital Saint-Gervais et de rue de la Culture Saint-Gervais.
RUE DU GENERAL SERE DE RIVIERES,"Raymond Adolphe Séré de Rivières (1815-1895), général, directeur du génie.",Ouverte par l'Office public d'habitations de la Ville de Paris sur l'emplacement du bastion 77.
RUE DU GENERAL CAMOU,"Jacques Camou (1792-1868), général de division ; voisinage de l'Ecole Militaire.",Précédemment rue Camou.
ALLEE GEORGES RECIPON,"Georges Recipon (1860-1920), peintre et sculpteur français.",Ouverte dans le cadre de l'aménagement de l'îlot n° 14. Elle avait été provisoirement dénommée AV/19.
RUE DU GENERAL NIOX,"Gustave Léon Niox (1840-1919), général, gouverneur des Invalides, historien militaire.","Ouverte par la Ville de Paris : 1° sur l'ancien territoire de Boulogne-Billancourt annexé à Paris par décret du 3 avril 1925, pour le tronçon compris entre le quai Saint-Exupéry et la rue du Général Malleterre ; 2° sur l'emplacement du bastion 67, pour le surplus."
COUR JASMIN,Voisinage de la rue Jasmin.,
VILLA COMPOINT,Nom de propriétaire.,"Précédemment, impasse Compoint."
RUE EDMOND FLAMAND,"Edmond Flamand (1853-1915), mutualiste, fondateur de l'Orphelinat des chemins de fer (1891) ; voisinage de la gare d'Austerlitz.","Un tronçon de cette voie (ouverte par ordonnance du 27 juillet 1825) a été supprimé par l'agrandissement de la gare d'Orléans (déc. du 12 août 1863). L'assiette de la rue Edmond Flamand a été déplacée par l'arrêté du 18 octobre 1947. Précédemment, rue de la Gare et, plus anciennement, rue Neuve de la Gare."
RUE GERVEX,"Henri Gervex (1852-1929), peintre d'histoire et de genre.",Ouverte par la Ville de Paris sur l'emplacement du bastion 47.
VILLA DE LA FAISANDERIE,Voisinage de la rue de la Faisanderie.,"Avant 1903, passage Cothenet, puis rue Cothenet."
RUE DE TURBIGO,Victoire remportée le 2 juin 1859 sur les Autrichiens.,
RUE CUGNOT,"Nicolas Joseph Cugnot (Void, 1725-Paris, 1804), ingénieur français ; constructeur de la première voiture automobile à vapeur (1770).","Précédemment, rue de l'Est, partie A. partie de la rue Boucry, partie B. La partie qui était comprise entre les rues Riquet et de Torcy a été supprimée en 1931 et incorporée au domaine de la Compagnie du chemin de fer de l'Est en exécution d'une décision ministérielle du 19 juillet 1920."
RUE DU GENERAL NIESSEL,Général d'armée Niessel (1866-1955).,Ouverte par la Ville de Paris. Précédemment rue du Nicaragua.
RUE FREDERIC MOURLON,"Claude Etienne Frédéric Mourlon (1811-1866), jurisconsulte.","Ouverte par la Ville de Paris, sur l'emplacement du bastion 21."
RUE HELENE JAKUBOWICZ,"Hélène Jakubowicz (Paris, 1925-Auschwitz, 1942), habitait le quartier ; résistante, membre des Jeunesses Communistes, elle est morte en déportation.","La voie est composée de deux tronçons: la partie A, qui commence rue Hélène Jakubowicz, 15, et qui finit rue de Ménilmontant, 144. La partie B qui commence rue Villiers de l'Isle Adam, 97, et qui finit rue Hélène Jakubowicz, 15. La partie A était provisoirement dénommée DU/20. La partie B était précédemment dénommée impasse Villiers de l'Isle Adam (arrêté du 1er février 1877), antérieurement impasse des Partants, et plus anciennement impasse Sainte-Croix."
VILLA D'ESTE,Ville d'Italie de la province de Vénétie. Voisinage de la place de Vénétie.,
SQUARE DU DIAPASON,,"Voie, anciennement dénommée CG/19, située dans le secteur Villette Sud."
RUE HENRI HEINE,"Henri Heine (1797-1856), littérateur allemand.","Le nom de la rue Henri Heine avait déjà été attribué à cette voie par arrêté du 27 février 1886 ; par l'arrêté du 26 novembre 1942, elle s'était appelée rue Jean Sébastien Bach."
VILLA GAGLIARDINI,"Gustave Gagliardini (1846-1927), peintre.",Ouverte sur un lotissement appartenant aux consorts Dury-Vasselon.
PONT DU GARIGLIANO,"Le Garigliano, fleuve de l'Italie méridionale sur les rives duquel les troupes françaises livrèrent de furieux combats dans la région de Monte Cassino en 1943-1944.","Précédemment, pont de Garigliano (arrêté du 12 octobre 1966). Antérieurement, pont-viaduc d'Auteuil."
PLACE DU 18 JUIN 1940,Appel à la résistance lancé de Londres par le général de Gaulle.,"Précédemment place de Rennes ; avant 1880, partie de la rue de Rennes."
PLACE FELIX EBOUE,"Félix Eboué (1884-1944), Gouverneur général du Tchad (1938), de l'Afrique Equatoriale Française (1940), l'un des promoteurs de la Résistance en Afrique.","Précédemment, place Daumesnil. Cette dernière place avait englobé la place de la Barrière de Reuilly, une partie des boulevards de Charenton et de Reuilly et une partie des chemins de ronde de Charenton et de Reuilly."
AVENUE FELIX D'HERELLE,"Félix, Hubert d'Hérelle (Montréal, 1873-Paris, 1949), bactériologiste canadien à qui l'on doit la découverte du phénomène de la bactériophagie.",Ouverte par la Ville de Paris sur l'ancien territoire de Boulogne-Billancourt annexé à Paris par décret du 3 avril 1925. Précédemment avenue Saint-Exupéry.
RUE FERDINAND DE BEHAGLE,"Ferdinand de Béhagle (1857-1899), explorateur ; voisinage du Musée des arts africains et océaniens.",Ouverte par la Ville de Paris dont la partie A sur l'emplacement du bastion 4.
PLACE DU GENERAL KOENIG,"Marie Pierre Koenig (Caen, 1898-Paris, 1970), général français et homme politique ; célèbre par sa résistance à Bir-Hakeim en 1942 ; ministre de la Défense nationale en 1954-1955 ; maréchal de France à titre posthume.","Précédemment, place de la Porte des Ternes. La partie A a été aménagée par la Ville de Paris sur l'emplacement des anciennes fortifications entre les bastions 50 et 51. Le surplus, précédemment place Gallieni et antérieurement rond-point de la Révolte, était situé autrefois pour partie sur le territoire de Neuilly-sur-Seine annexé à Paris par décret du 18 avril 1929."
RUE DU GENERAL LUCOTTE,"Général Lucotte (1770-1825), général français qui servit en 1797 sous Bonaparte en Italie. Après la campagne de France de 1814, il se rallia temporairement à Louis XVIII, puis fit partie du corps royal d'état major.","Voie de service, en pied de talus, aménagée lors de la réalisation du boulevard Périphérique. Elle avait été provisoirement dénommée AF/15."
PLACE DU DOCTEUR HAYEM,"Georges Hayem (1841-1933), médecin des hôpitaux, professeur français de thérapeutique et de clinique médicale.",
PLACE LEON DEUBEL,"Léon Deubel (1879-1913), poète.","Précédemment, partie de la rue Gudin et, avant 1867, partie de la rue de la Demi Lune."
AVENUE PAUL DOUMER,"Paul Doumer (1857-1932), administrateur et homme politique français président de la République.",Précédemment avenue de la Muette. La partie de l'avenue située à la rencontre avec la rue du Commandant Schloesing a été nommée Place José Marti.
PLACE DE LA PORTE DE PASSY,Située en partie sur l'emplacement de l'ancienne porte de Passy.,Aménagée par la Ville de Paris sur l'emplacement des anciennes fortifications entre les bastions 59 et 60.
RUE PAGANINI,"Nicolo Paganini (1784-1840), violoniste virtuose et compositeur italien.","Ouverte par la Ville de Paris, sur l'emplacement du bastion 11."
RUE PAUL SEJOURNE,"Paul Séjourné (1851-1939), inspecteur général des Ponts et Chaussées, membre de l'Institut ; a longtemps demeuré dans cette voie.",Précédemment rue René Pauline.
RUE PEGUY,"Charles Pierre Péguy (1873-1914), écrivain français mort au champ d'honneur.",Précédemment rue Nouvelle Stanislas.
RUE DU PERE PROSPER-ENFANTIN,"Prosper Barthélemy Enfantin dit le Père Enfantin (Paris, 1796-Paris, 1864). Ingénieur et socialiste français. Il fut le principal propagateur du Saint-Simonisme.",Elle avait été provisoirement dénommée CH/20.
RUE JEAN ARP,"Jean ou Hans Arp (Strasbourg, 1887-Bâle, 1966), sculpteur, peintre, dessinateur et poète français.",Voie créée dans le cadre de l'aménagement de la Zac `Paris Rive Gauche `sur des terrains appartenant à la SNCF. Elle avait été provisoirement dénommée CF/13.
RUE JEAN FAUTRIER,"Jean Fautrier (Paris, 1898-Châtenay-Malabry, 1964), peintre, sculpteur, dessinateur et graveur français.",Elle avait été provisoirement dénommée CB/13.
PLACE JEAN LORRAIN,"Jean Lorrain (1855-1906), littérateur ; voisinage de son domicile.",
QUAI DES ORFEVRES,Quai habité depuis le XVIIe siècle par des orfèvres et des joailliers.,"Un certain nombre de maisons du quai des Orfèvres nécessaires à l'agrandissement du Palais de Justice ont été expropriées à la suite de décrets du 2 mars 1854 (UP) et du 24 septembre 1880 (UP). La partie comprise entre le Pont Neuf et l'ancienne rue de Jérusalem, construite de 1580 à 1643, s'est appelée dès l'origine quai des Orfèvres ; pendant la Révolution, c'était le quai du Midi. La partie comprise entre l'ancienne rue de Jérusalem et le pont Saint-Michel a englobé l'ancienne rue Saint-Louis. La rue Saint-Louis avait porté, en 1623, le nom de Rue Neuve ou rue Neuve Saint-Louis et, en 1793, celui de rue Révolutionnaire. Les maisons riveraines de cette rue du côté du fleuve ont été démolies pour la formation du quai à la suite d'un décret du 7 juillet 1807."
RUE DES BATIGNOLLES,Principale rue des Batignolles.,"Précédemment, rue de l'Église et rue de l'Hôtel de Ville. En 1919, la partie qui était comprise entre les nos 64, 65 et la rue des Moines a été dénommée place des Batignolles puis, en 1945, place du Docteur Félix Lobligeois."
PLACE DU PONT NEUF,Place située sur le terre-plein du pont Neuf.,Appelée place Henri IV jusqu'en 1789.
PLACE DU COMTAT VENAISSIN,"Ancien pays du midi de la France qui était limité par le Rhône, la Durance et le Mont Ventoux. Le comtat Venaissin doit son nom à Venasque, commune du Vaucluse, qui en fut longtemps la capitale.",
QUAI DE GESVRES,Quai construit sur des terrains concédés par le roi au marquis de Gesvres.,"L'arrêté du 2 avril 1868, réunissait le quai Le Pelletier au quai de Gesvres. Le quai Le Pelletier était situé entre la place de l'Hôtel de Ville et la rue Saint-Martin. Créé en 1675 en vertu d'un arrêt du Conseil du 15 juillet 1673, il a porté le nom de quai Neuf, quai de la Tannerie ou Pelletier, puis quai Le Pelletier. Le quai de Gesvres, situé entre la rue Saint-Martin et la place du Châtelet, construit en vertu de lettres patentes de février 1642 et du 30 août 1642, a été élargi en 1786 par démolition de maisons qui le séparaient de la rue de Gesvres."
RUE BEZOUT,"Etienne Bezout (1730-1783), mathématicien français.","Précédemment, rue Neuve de la Tombe Issoire, partie A."
RUE DE CRIMEE,Ouverte partiellement peu après la guerre de Crimée.,"L'arrêté du 2 avril 1868, a réuni à la rue de Crimée, comprise entre les rues des Fêtes et d'Allemagne (aujourd'hui avenue Jean Jaurès), la rue de Marseille, comprise entre la rue d'Allemagne et le quai de la Marne, et la rue de Bordeaux, comprise entre le quai de l'Oise et la rue d'Aubervilliers. La partie comprise entre l'avenue Jean Jaurès et l'avenue de Flandre est indiquée au cadastre de 1812 sous le nom de rue Neuve. La suppression de la partie de la rue des Fêtes allant de la place des Fêtes à la rue Compans a fait disparaître la partie M de la rue de Crimée, d'une longueur de 25,50 m environ, côté pair, à partir de la rue des Fêtes."
RUE VAUGELAS,"Claude Favre de Vaugelas (1585-1650), grammairien français.",Précédemment partie de la rue des Tournelles. Elle est tracée sur le plan de Roussel (1730).
RUE PUGET,"Pierre Puget (1620-1694), sculpteur, peintre dessinateur et architecte français ; quartier où ont été groupés des noms de sculpteurs.",Précédemment partie de la rue Amélie.
RUE DE LA MAISON BLANCHE,"Située dans l'ancien hameau de la Maison Blanche, nom qu'il devait à une maison isolée.",Précédemment rue Neuve.
